,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,bandarbeyla,9.49,50.81,299.77,83,33,5.93,SO,1602699559
99,castro,-24.79,-50.01,302.13,43,41,1.91,BR,1602699305
100,guaranesia,-21.3,-46.8,302.96,38,73,1.45,BR,1602699561
101,balud,10.15,123.7,300.15,83,90,4.1,PH,1602699562
102,hilo,19.73,-155.09,299.82,56,1,4.6,US,1602699447
104,mora,11.05,14.14,302.15,66,20,2.1,CM,1602699566
105,nome,64.5,-165.41,266.15,79,20,1.24,US,1602699388
106,moussoro,13.64,16.49,310.22,13,6,4.33,TD,1602699569
108,nador,35.17,-2.93,294.15,68,20,8.7,MA,1602699571
110,kijang,35.24,129.21,285.15,66,5,2.1,KR,1602699574
111,tigil,57.8,158.67,277.87,93,100,1.73,RU,1602699575
112,cootehill,54.07,-7.08,284.82,79,14,0.89,IE,1602699576
113,mangrol,21.12,70.12,302.94,42,43,4.32,IN,1602699577
114,georgetown,5.41,100.34,301.15,78,20,1.5,MY,1602699579
115,komsomolskiy,40.43,71.72,284.15,71,0,4.1,UZ,1602699489
116,vizinga,61.07,50.1,274.07,92,23,1.67,RU,1602699581
117,butaritari,3.07,172.79,301.33,73,100,5.7,KI,1602699583
118,moron,-34.65,-58.62,300.37,42,13,4.6,AR,1602699337
119,san patricio,28.02,-97.52,305.37,55,40,2.1,US,1602699585
120,prince rupert,54.32,-130.32,282.15,87,90,3.1,CA,1602699586
121,darhan,49.49,105.92,273.21,83,25,1.33,MN,1602699587
122,hithadhoo,-0.6,73.08,301.74,74,54,5.63,MV,1602699589
123,buala,-8.14,159.59,298.73,80,52,0.09,SB,1602699590
124,kysyl-syr,63.9,122.76,265.24,92,41,3.48,RU,1602699591
125,zhengjiatun,43.51,123.51,275.45,71,3,4.03,CN,1602699592
126,carnarvon,-24.87,113.63,292.15,82,0,8.2,AU,1602699593
127,bafoulabe,13.81,-10.83,305.24,48,71,0.96,ML,1602699594
128,luderitz,-26.65,15.16,295.78,39,0,4.74,NA,1602699596
130,port hardy,50.7,-127.42,283.15,93,75,1.04,CA,1602699598
131,pisco,-13.7,-76.22,292.04,82,20,4.1,PE,1602699599
132,pavino,59.11,46.14,278.57,83,95,2.07,RU,1602699601
133,jackson,42.42,-122.83,290.15,55,20,1.5,US,1602699507
135,cidreira,-30.18,-50.21,291.92,69,10,4.14,BR,1602699604
136,talnakh,69.49,88.4,269.15,92,90,8,RU,1602699606
137,qaanaaq,77.48,-69.36,273.3,82,40,3.09,GL,1602699317
138,wellington,-41.29,174.78,282.15,70,99,11.8,NZ,1602699603
139,thompson,55.74,-97.86,273.15,90,75,7.7,CA,1602699609
140,ahipara,-35.17,173.17,285.62,80,63,6.19,NZ,1602699611
141,lavrentiya,65.58,-171,271.85,91,30,3.51,RU,1602699612
142,sao felix do xingu,-6.64,-51.99,309.82,26,29,3.05,BR,1602699613
143,ola,59.58,151.28,276.14,80,100,3.31,RU,1602699614
144,warrnambool,-38.38,142.48,292.04,63,89,1.79,AU,1602699615
145,khalkhal,37.62,48.53,282.12,48,2,0.21,IR,1602699617
146,kodiak,57.79,-152.41,274.15,77,1,2.1,US,1602699618
147,anadyr,64.75,177.48,276.15,84,40,5,RU,1602699619
148,sabang,5.89,95.32,301.35,76,100,6.49,ID,1602699426
149,kavieng,-2.57,150.8,300.07,79,84,3.36,PG,1602699622
150,kruisfontein,-34,24.73,289.26,73,0,3.13,ZA,1602699623
151,sept-iles,50.2,-66.38,282.15,100,90,5.7,CA,1602699624
152,hualmay,-11.1,-77.61,293.4,66,57,3.96,PE,1602699625
154,port blair,11.67,92.75,300.23,82,97,5.79,IN,1602699383
155,yenangyaung,20.47,94.88,299.23,79,86,0.45,MM,1602699629
156,saint-augustin,51.23,-58.65,282.37,67,99,3.64,CA,1602699630
157,batemans bay,-35.72,150.18,287.59,93,63,0.89,AU,1602699631
158,vaini,-21.2,-175.2,294.15,83,75,3.1,TO,1602699633
159,dikson,73.51,80.55,271.55,93,100,10.46,RU,1602699634
160,dunda,-8.12,34.25,296.42,54,66,3.73,TZ,1602699635
161,nobeoka,32.58,131.67,282.59,84,0,3.72,JP,1602699637
162,tarko-sale,64.92,77.78,272.97,93,35,6.99,RU,1602699638
163,tasiilaq,65.61,-37.64,278.15,75,75,5.7,GL,1602699639
165,ponta do sol,32.67,-17.1,295.15,68,75,4.1,PT,1602699642
166,constitucion,-35.33,-72.42,288.74,73,6,3.4,CL,1602699643
167,babu,24.42,111.52,293.59,89,100,2.15,CN,1602699644
168,kamenka,51.32,42.77,287.05,41,34,4.5,RU,1602699645
169,morondava,-20.28,44.28,299.23,67,0,8.74,MG,1602699646
170,karratha,-20.74,116.85,301.42,30,0,6.71,AU,1602699648
171,mogoytuy,51.28,114.92,270.2,86,0,3.94,RU,1602699649
172,guerrero negro,27.98,-114.06,301.47,38,98,2.18,MX,1602699650
173,klaksvik,62.23,-6.59,280.15,81,54,0.5,FO,1602699652
174,abha,18.22,42.51,292.15,63,28,2.1,SA,1602699653
175,port elizabeth,-33.92,25.57,290.15,82,0,5.1,ZA,1602699654
176,rio grande,-32.03,-52.1,291.46,74,8,4.27,BR,1602699655
178,dawson creek,55.77,-120.24,273.15,82,40,2.1,CA,1602699658
179,mersing,2.43,103.84,300.15,94,100,2.1,MY,1602699659
180,fortuna,40.6,-124.16,287.15,100,90,4.1,US,1602699661
181,saint-philippe,-21.36,55.77,297.15,83,75,0.5,RE,1602699662
182,tateyama,34.98,139.87,293.15,63,63,4.66,JP,1602699663
183,solton,52.84,86.48,276.78,87,59,2.44,RU,1602699665
185,praia,14.92,-23.51,301.15,78,75,6.7,CV,1602699668
186,kamaishi,39.27,141.88,285.95,74,88,2.08,JP,1602699670
187,te anau,-45.42,167.72,271.43,96,31,0.81,NZ,1602699671
188,impfondo,1.64,18.07,296.26,91,31,0.89,CG,1602699673
190,teknaf,20.86,92.31,299.51,85,34,2,BD,1602699676
191,nikolskoye,59.7,30.79,281.48,70,90,5,RU,1602699677
192,verkhnevilyuysk,63.45,120.32,265.73,95,3,2.76,RU,1602699678
193,bathsheba,13.22,-59.52,304.15,66,40,4.1,BB,1602699680
194,veraval,20.9,70.37,302.58,51,55,3.16,IN,1602699681
195,college,64.86,-147.8,267.59,62,40,4.1,US,1602699682
196,gat,31.61,34.76,298.71,69,0,3.24,IL,1602699542
197,kisangani,0.52,25.2,298.15,88,75,0.95,CD,1602699685
198,luganville,-15.53,167.17,298.39,80,100,0.63,VU,1602699686
199,la rioja,42.25,-2.5,283.15,71,75,6.2,ES,1602699670
200,kahului,20.89,-156.47,298.71,73,1,2.6,US,1602699688
202,bollnas,61.35,16.39,275.86,84,1,1.79,SE,1602699691
203,avarua,-21.21,-159.78,295.15,60,94,3.6,CK,1602699453
204,kushiro,42.98,144.37,279.74,70,86,5.21,JP,1602699694
206,sault sainte marie,46.52,-84.33,285.15,50,90,3.6,CA,1602699528
207,san andres,12.58,-81.7,301.15,69,75,5.7,CO,1602699698
209,rach gia,10.02,105.08,298.15,100,75,2.1,VN,1602699700
